Cell_Type,Cell_Type_Full,Cell_Type_Alternate,Marker,Alternate_Name,Source,Species,Tissue_Type,Details,Notes
DC_Transitional,Transitional_Dendritic_Cells,Transitional_DC,CLEC10A,NA,CellTypist,Human,"Blood, Bone marrow",CL:0000840,immature dendritic cells which follow dendritic cell precursors and are committed to the mature dendritic cells
DC_Transitional,Transitional_Dendritic_Cells,Transitional_DC,KLF4,NA,CellTypist,Human,"Blood, Bone marrow",CL:0000840,immature dendritic cells which follow dendritic cell precursors and are committed to the mature dendritic cells
Endothelial,Endothelial_Cells,NA,CD93,NA,Literature,Human,Skin,doi.org/10.1101/689273,NA
Endothelial,Endothelial_Cells,NA,CDH5,NA,Mary_Tomayko,Human,Skin,NA,NA
Endothelial,Endothelial_Cells,NA,CLDN5,NA,CellTypist,Human,Thymus,CL:0000115,"single-layered lining cells that constitute the interior vasculature, form part of the microenvironment and fulfill different functions"
Endothelial,Endothelial_Cells,NA,PECAM1,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Endothelial,Endothelial_Cells,NA,PECAM1,NA,Mary_Tomayko,Human,Skin,NA,NA
Endothelial,Endothelial_Cells,NA,PLVAP,NA,CellTypist,Human,Thymus,CL:0000115,"single-layered lining cells that constitute the interior vasculature, form part of the microenvironment and fulfill different functions"
Endothelial,Endothelial_Cells,NA,SELE,NA,Literature,Human,Skin,doi.org/10.1101/689273,NA
Endothelial,Endothelial_Cells,NA,SPARCL1,NA,CellTypist,Human,Thymus,CL:0000115,"single-layered lining cells that constitute the interior vasculature, form part of the microenvironment and fulfill different functions"
Endothelial,Endothelial_Cells,NA,VWF,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Endothelial,Endothelial_Cells,NA,VWF,NA,Mary_Tomayko,Human,Skin,NA,NA
Endothelial_Lymphatic,Lymphatic_Endothelial_Cells,NA,CCL21,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Endothelial_Lymphatic,Lymphatic_Endothelial_Cells,NA,CLDN5,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Endothelial_Lymphatic,Lymphatic_Endothelial_Cells,NA,LYVE1,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Endothelial_Lymphatic,Lymphatic_Endothelial_Cells,NA,PROX1,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Endothelial_Lymphatic,Lymphatic_Endothelial_Cells,NA,TFF3,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Endothelial_Vascular,Vascular_Endothelial_Cells,NA,CDH5,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Endothelial_Vascular,Vascular_Endothelial_Cells,NA,CLDN5,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Endothelial_Vascular,Vascular_Endothelial_Cells,NA,SELE,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Endothelial_Vascular,Vascular_Endothelial_Cells,NA,VWF,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Eosinophils,Eosinophils,NA,CCR3,NA,Mary_Tomayko,Human,Skin,NA,NA
Eosinophils,Eosinophils,NA,IL5RA,NA,Mary_Tomayko,Human,Skin,NA,NA
Epidermis,Epidermal_Cells,NA,ABCC3,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Epidermis,Epidermal_Cells,NA,ITGA6,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Epidermis,Epidermal_Cells,NA,ITGB1,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Epidermis,Epidermal_Cells,NA,KRT1,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Epidermis,Epidermal_Cells,NA,KRT10,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Epidermis,Epidermal_Cells,NA,KRT14,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Epidermis,Epidermal_Cells,NA,KRT5,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Epithelial,Epithelial_Cells,NA,CCL19,NA,CellTypist,Human,Thymus,CL:0000066,highly specialised cells which are located in the outer layer of stroma and form the cellular components of the epithelium
Epithelial,Epithelial_Cells,NA,KRT15,NA,CellTypist,Human,Thymus,CL:0000066,highly specialised cells which are located in the outer layer of stroma and form the cellular components of the epithelium
Epithelial,Epithelial_Cells,NA,KRT17,NA,CellTypist,Human,Thymus,CL:0000066,highly specialised cells which are located in the outer layer of stroma and form the cellular components of the epithelium
Epithelial_Secretory,Secretory_Epithelial_Cells,NA,AQP5,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Epithelial_Secretory,Secretory_Epithelial_Cells,NA,CA6,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Erythrocytes,Erythroid_Cells,Erythroid_Cell,AHSP,NA,Azimuth,Human,NA,CL_0000764,Human PBMCs reference
Erythrocytes,Erythroid_Cells,Erythroid_Cell,ALAS2,NA,Azimuth,Human,NA,CL_0000764,Human PBMCs reference
Erythrocytes,Erythroid_Cells,Early_Erythroid,APOC1,NA,CellTypist,Human,"Bone marrow, Liver",CL:0000764,early erythroid cells which are committed to erythroid lineage cells
Erythrocytes,Erythroid_Cells,Erythroid_Cell,CA1,NA,Azimuth,Human,NA,CL_0000764,Human PBMCs reference
Erythrocytes,Erythroid_Cells,Early_Erythroid,GATA2,NA,CellTypist,Human,"Bone marrow, Liver",CL:0000764,early erythroid cells which are committed to erythroid lineage cells
Erythrocytes,Erythroid_Cells,Late_Erythroid,GYPA,NA,CellTypist,Human,Blood,CL:0000764,late erythroid cells following early and middle erythroid cells
Erythrocytes,Erythroid_Cells,Mid_Erythroid,GYPA,NA,CellTypist,Human,"Blood, Bone marrow, Liver",CL:0000764,"middle erythroid cells in fetal liver, blood and bone marrow following early erythroid cells and maturing into late erythroid cells"
Erythrocytes,Erythroid_Cells,Erythrocytes,GYPA,NA,CellTypist,Human,"Thymus, Trachea",CL:0000232,biconcave enucleated red blood cells filled with hemoglobin to transport oxygen and carbon dioxide between the lungs and tissues
Erythrocytes,Erythroid_Cells,Late_Erythroid,GYPB,NA,CellTypist,Human,Blood,CL:0000764,late erythroid cells following early and middle erythroid cells
Erythrocytes,Erythroid_Cells,Late_Erythroid,HBA1,NA,CellTypist,Human,Blood,CL:0000764,late erythroid cells following early and middle erythroid cells
Erythrocytes,Erythroid_Cells,Erythrocytes,HBA1,NA,Mary_Tomayko,Human,Skin,NA,NA
Erythrocytes,Erythroid_Cells,Erythrocytes,HBA2,NA,Mary_Tomayko,Human,Skin,NA,NA
Erythrocytes,Erythroid_Cells,Erythrocytes,HBB,NA,Mary_Tomayko,Human,Skin,NA,NA
Erythrocytes,Erythroid_Cells,Erythroid_Cell,HBD,NA,Azimuth,Human,NA,CL_0000764,Human PBMCs reference
Erythrocytes,Erythroid_Cells,Erythroid_Cell,HBM,NA,Azimuth,Human,NA,CL_0000764,Human PBMCs reference
Erythrocytes,Erythroid_Cells,Erythrocytes,HBM,NA,CellTypist,Human,"Thymus, Trachea",CL:0000232,biconcave enucleated red blood cells filled with hemoglobin to transport oxygen and carbon dioxide between the lungs and tissues
Erythrocytes,Erythroid_Cells,Erythrocytes,HBQ1,NA,CellTypist,Human,"Thymus, Trachea",CL:0000232,biconcave enucleated red blood cells filled with hemoglobin to transport oxygen and carbon dioxide between the lungs and tissues
Erythrocytes,Erythroid_Cells,Erythroid_Cell,IFIT1B,NA,Azimuth,Human,NA,CL_0000764,Human PBMCs reference
Erythrocytes,Erythroid_Cells,Mid_Erythroid,KCNH2,NA,CellTypist,Human,"Blood, Bone marrow, Liver",CL:0000764,"middle erythroid cells in fetal liver, blood and bone marrow following early erythroid cells and maturing into late erythroid cells"
Erythrocytes,Erythroid_Cells,Mid_Erythroid,PRDX2,NA,CellTypist,Human,"Blood, Bone marrow, Liver",CL:0000764,"middle erythroid cells in fetal liver, blood and bone marrow following early erythroid cells and maturing into late erythroid cells"
Erythrocytes,Erythroid_Cells,Erythroid_Cell,SELENBP1,NA,Azimuth,Human,NA,CL_0000764,Human PBMCs reference
Erythrocytes,Erythroid_Cells,Erythroid_Cell,SLC4A1,NA,Azimuth,Human,NA,CL_0000764,Human PBMCs reference
Erythrocytes,Erythroid_Cells,Erythroid_Cell,SNCA,NA,Azimuth,Human,NA,CL_0000764,Human PBMCs reference
Erythrocytes,Erythroid_Cells,Early_Erythroid,TESPA1,NA,CellTypist,Human,"Bone marrow, Liver",CL:0000764,early erythroid cells which are committed to erythroid lineage cells
Erythrocytes,Erythroid_Cells,Erythroid_Cell,TMCC2,NA,Azimuth,Human,NA,CL_0000764,Human PBMCs reference
Erythrocytes,Erythroid_Cells,Erythroid_Cell,TRIM58,NA,Azimuth,Human,NA,CL_0000764,Human PBMCs reference
Fibroblasts,Fibroblasts,NA,MME,CD10,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Fibroblasts,Fibroblasts,NA,MME,CD10,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Fibroblasts,Fibroblasts,NA,COL1A1,NA,CellTypist,Human,Thymus,CL:0000057,the most common cells of connective tissues which synthesize the extracellular matrix and collagen to maintain tissue homeostasis
Fibroblasts,Fibroblasts,NA,COL1A1,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Fibroblasts,Fibroblasts,NA,COL1A1,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Fibroblasts,Fibroblasts,NA,COL1A2,NA,CellTypist,Human,Thymus,CL:0000057,the most common cells of connective tissues which synthesize the extracellular matrix and collagen to maintain tissue homeostasis
Fibroblasts,Fibroblasts,NA,COL1A2,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Fibroblasts,Fibroblasts,NA,COL1A2,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Fibroblasts,Fibroblasts,NA,COL1A2,NA,Mary_Tomayko,Human,Skin,NA,NA
Fibroblasts,Fibroblasts,NA,COL5A1,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Fibroblasts,Fibroblasts,NA,COL5A1,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Fibroblasts,Fibroblasts,NA,COL6A2,NA,Literature,Human,Skin,doi.org/10.1101/689273,NA
Fibroblasts,Fibroblasts,NA,DCN,NA,CellTypist,Human,Thymus,CL:0000057,the most common cells of connective tissues which synthesize the extracellular matrix and collagen to maintain tissue homeostasis
Fibroblasts,Fibroblasts,NA,DCN,NA,Mary_Tomayko,Human,Skin,NA,NA
Fibroblasts,Fibroblasts,NA,DCN,NA,Literature,Human,Skin,doi.org/10.1101/689273,NA
Fibroblasts,Fibroblasts,NA,LUM,NA,Mary_Tomayko,Human,Skin,NA,NA
Fibroblasts,Fibroblasts,NA,MME,CD10,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Fibroblasts,Fibroblasts,NA,MME,CD10,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Fibroblasts,Fibroblasts,NA,PDGFRA,NA,Mary_Tomayko,Human,Skin,NA,NA
Fibroblasts,Fibroblasts,NA,VIM,NA,Mary_Tomayko,Human,Skin,NA,NA
Fibroblasts_Myo,Myofibroblasts,NA,ACTA2,NA,HUSCH,Human,Blood,husch.comp-genomics.org/#/info_tissue/Blood,NA
Fibroblasts_Myo,Myofibroblasts,NA,ACTA2,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Fibroblasts_Myo,Myofibroblasts,NA,COL1A1,NA,HUSCH,Human,Blood,husch.comp-genomics.org/#/info_tissue/Blood,NA
Fibroblasts_Myo,Myofibroblasts,NA,COL1A1,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Fibroblasts_Myo,Myofibroblasts,NA,COL1A2,NA,HUSCH,Human,Blood,husch.comp-genomics.org/#/info_tissue/Blood,NA
Fibroblasts_Myo,Myofibroblasts,NA,COL1A2,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Fibroblasts_Myo,Myofibroblasts,NA,COL3A1,NA,HUSCH,Human,Blood,husch.comp-genomics.org/#/info_tissue/Blood,NA
Fibroblasts_Myo,Myofibroblasts,NA,COL3A1,NA,HUSCH,Human,Skin,husch.comp-genomics.org/#/info_tissue/Skin,NA
Granulocytes,Granulocytes,NA,CPA3,NA,CellTypist,Human,Decidua,CL:0000094,"cells of innate immune system with specific granules in the cytoplasm including neutrophils, eosinophils and basophils"
Granulocytes,Granulocytes,NA,KIT,NA,CellTypist,Human,Decidua,CL:0000094,"cells of innate immune system with specific granules in the cytoplasm including neutrophils, eosinophils and basophils"
Granulocytes,Neutrophils,NA,LCN2,NA,CellTypist,Human,Spleen,CL:0000775,the most abundant type of granulocytes that contains distinctive cytoplasmic granules and forms an essential part of the innate immune system
Granulocytes,Neutrophils,NA,MMP8,NA,CellTypist,Human,Spleen,CL:0000775,the most abundant type of granulocytes that contains distinctive cytoplasmic granules and forms an essential part of the innate immune system
Granulocytes,Neutrophils,NA,ORM1,NA,CellTypist,Human,Spleen,CL:0000775,the most abundant type of granulocytes that contains distinctive cytoplasmic granules and forms an essential part of the innate immune system
Granulocytes,Granulocytes,NA,SLC45A3,NA,CellTypist,Human,Decidua,CL:0000094,"cells of innate immune system with specific granules in the cytoplasm including neutrophils, eosinophils and basophils"
Hair,Hair_Cells,NA,SOX9,NA,Literature,Human,Skin,doi.org/10.1101/689273,NA
HSC_MPP,Hematopoietic_Stem_Cells_and_Multipotent_Progenitor_Cells,NA,CD34,NA,CellTypist,Human,"Blood, Bone marrow, Liver",CL:0000837,hematopoietic stem cells and multipotent progenitor cells with the potential of differentiating into different blood cells
HSC_MPP,Hematopoietic_Stem_Cells_and_Multipotent_Progenitor_Cells,NA,CRHBP,NA,CellTypist,Human,"Blood, Bone marrow, Liver",CL:0000837,hematopoietic stem cells and multipotent progenitor cells with the potential of differentiating into different blood cells
HSC_MPP,Cmp,NA,CTSG,NA,CellTypist,Human,Bone marrow,CL:0000049,highly proliferative common myeloid progenitors which later give rise to granulocyte-monocyte progenitors and megakaryocyte-erythroid progenitors
HSC_MPP,Gmp,NA,ELANE,NA,CellTypist,Human,Bone marrow,CL:0000557,hematopoietic granulocyte-monocyte progenitors that are committed to the granulocyte and monocyte lineage cells
HSC_MPP,Early_Lymphoid/T_Lymphoid,NA,ETS1,NA,CellTypist,Human,Liver,CL:0000936,early lymphoid/T lymphocytes with lymphocyte potential in the fetal liver before T cells emerged from the thymus
HSC_MPP,Megakaryocyte-Erythroid-Mast_Cell_Progenitor,NA,FCER1A,NA,CellTypist,Human,Liver,CL:0000050,"shared progenitors in the fetal liver which originate from common myeloid progenitors and differentiate into megakaryocytes, erythroid cells or mast cells"
HSC_MPP,Cmp,NA,FLT3,NA,CellTypist,Human,Bone marrow,CL:0000049,highly proliferative common myeloid progenitors which later give rise to granulocyte-monocyte progenitors and megakaryocyte-erythroid progenitors
HSC_MPP,Elp,NA,FLT3,NA,CellTypist,Human,Bone marrow,CL:0000936,early lymphoid progenitors which originate from hematopoietic stem cells of the bone marrow and migrate to the thymus
HSC_MPP,Memp,NA,GATA1,NA,CellTypist,Human,"Blood, Bone marrow",CL:0000050,"shared progenitors which are derived from common myeloid progenitors and will differentiate into megakaryocytes, erythroid cells or mast cells"
HSC_MPP,Megakaryocyte-Erythroid-Mast_Cell_Progenitor,NA,GATA1,NA,CellTypist,Human,Liver,CL:0000050,"shared progenitors in the fetal liver which originate from common myeloid progenitors and differentiate into megakaryocytes, erythroid cells or mast cells"
HSC_MPP,Memp,NA,GATA2,NA,CellTypist,Human,"Blood, Bone marrow",CL:0000050,"shared progenitors which are derived from common myeloid progenitors and will differentiate into megakaryocytes, erythroid cells or mast cells"
HSC_MPP,Megakaryocyte-Erythroid-Mast_Cell_Progenitor,NA,GATA2,NA,CellTypist,Human,Liver,CL:0000050,"shared progenitors in the fetal liver which originate from common myeloid progenitors and differentiate into megakaryocytes, erythroid cells or mast cells"
HSC_MPP,Early_Lymphoid/T_Lymphoid,NA,GATA3,NA,CellTypist,Human,Liver,CL:0000936,early lymphoid/T lymphocytes with lymphocyte potential in the fetal liver before T cells emerged from the thymus
HSC_MPP,Early_Lymphoid/T_Lymphoid,NA,IL32,NA,CellTypist,Human,Liver,CL:0000936,early lymphoid/T lymphocytes with lymphocyte potential in the fetal liver before T cells emerged from the thymus
HSC_MPP,Memp,NA,ITGA2B,NA,CellTypist,Human,"Blood, Bone marrow",CL:0000050,"shared progenitors which are derived from common myeloid progenitors and will differentiate into megakaryocytes, erythroid cells or mast cells"
HSC_MPP,Elp,NA,LTB,NA,CellTypist,Human,Bone marrow,CL:0000936,early lymphoid progenitors which originate from hematopoietic stem cells of the bone marrow and migrate to the thymus
HSC_MPP,Neutrophil-Myeloid_Progenitor,NA,LYZ,NA,CellTypist,Human,"Liver, Thymus",CL:0000834,progenitors of neutrophils and myeloid cells which are transitioned from hematopoietic stem cells and multipotent progenitors
HSC_MPP,Cmp,NA,MPO,NA,CellTypist,Human,Bone marrow,CL:0000049,highly proliferative common myeloid progenitors which later give rise to granulocyte-monocyte progenitors and megakaryocyte-erythroid progenitors
HSC_MPP,Gmp,NA,MPO,NA,CellTypist,Human,Bone marrow,CL:0000557,hematopoietic granulocyte-monocyte progenitors that are committed to the granulocyte and monocyte lineage cells
HSC_MPP,Neutrophil-Myeloid_Progenitor,NA,MPO,NA,CellTypist,Human,"Liver, Thymus",CL:0000834,progenitors of neutrophils and myeloid cells which are transitioned from hematopoietic stem cells and multipotent progenitors
HSC_MPP,Gmp,NA,PRTN3,NA,CellTypist,Human,Bone marrow,CL:0000557,hematopoietic granulocyte-monocyte progenitors that are committed to the granulocyte and monocyte lineage cells
HSC_MPP,Elp,NA,RUNX2,NA,CellTypist,Human,Bone marrow,CL:0000936,early lymphoid progenitors which originate from hematopoietic stem cells of the bone marrow and migrate to the thymus
HSC_MPP,Neutrophil-Myeloid_Progenitor,NA,SERPINB1,NA,CellTypist,Human,"Liver, Thymus",CL:0000834,progenitors of neutrophils and myeloid cells which are transitioned from hematopoietic stem cells and multipotent progenitors
HSC_MPP,Hematopoietic_Stem_Cells_and_Multipotent_Progenitor_Cells,NA,SPINK2,NA,CellTypist,Human,"Blood, Bone marrow, Liver",CL:0000837,hematopoietic stem cells and multipotent progenitor cells with the potential of differentiating into different blood cells
HSPC,Hematopoietic_Stem_And_Progenitor_Cell,NA,ANKRD28,NA,Azimuth,Human,NA,CL_0008001,Human PBMCs reference
HSPC,Hematopoietic_Stem_And_Progenitor_Cell,NA,AVP,NA,Azimuth,Human,NA,CL_0008001,Human PBMCs reference
HSPC,Hematopoietic_Stem_And_Progenitor_Cell,NA,CD34,NA,Azimuth,Human,NA,CL_0008001,Human PBMCs reference
HSPC,Hematopoietic_Stem_And_Progenitor_Cell,NA,CDK6,NA,Azimuth,Human,NA,CL_0008001,Human PBMCs reference
HSPC,Hematopoietic_Stem_And_Progenitor_Cell,NA,CYTL1,NA,Azimuth,Human,NA,CL_0008001,Human PBMCs reference
HSPC,Hematopoietic_Stem_And_Progenitor_Cell,NA,EGFL7,NA,Azimuth,Human,NA,CL_0008001,Human PBMCs reference
HSPC,Hematopoietic_Stem_And_Progenitor_Cell,NA,FAM30A,NA,Azimuth,Human,NA,CL_0008001,Human PBMCs reference
HSPC,Hematopoietic_Stem_And_Progenitor_Cell,NA,GATA2,NA,Azimuth,Human,NA,CL_0008001,Human PBMCs reference
HSPC,Hematopoietic_Stem_And_Progenitor_Cell,NA,LAPTM4B,NA,Azimuth,Human,NA,CL_0008001,Human PBMCs reference
HSPC,Hematopoietic_Stem_And_Progenitor_Cell,NA,MYB,NA,Azimuth,Human,NA,CL_0008001,Human PBMCs reference
HSPC,Hematopoietic_Stem_And_Progenitor_Cell,NA,PRSS57,NA,Azimuth,Human,NA,CL_0008001,Human PBMCs reference
HSPC,Hematopoietic_Stem_And_Progenitor_Cell,NA,SMIM24,NA,Azimuth,Human,NA,CL_0008001,Human PBMCs reference
HSPC,Hematopoietic_Stem_And_Progenitor_Cell,NA,SOX4,NA,Azimuth,Human,NA,CL_0008001,Human PBMCs reference
HSPC,Hematopoietic_Stem_And_Progenitor_Cell,NA,SPINK2,NA,Azimuth,Human,NA,CL_0008001,Human PBMCs reference
ILC,Innate_Lymphoid_Cells,NA,AREG,NA,CellTypist,Human,"Intestine, Mesenteric lymph node, Spleen",CL:0001065,specialised innate immune cells from the lymphoid lineage but without antigen-specific T-cell receptors on the surface
ILC,Transitional_NK,NA,CCL5,NA,CellTypist,Human,Bone marrow,CL:0000823,immature natural killer cells which originate from natural killer cell precursors and are committed to mature natural killer cells
ILC,CD16-_NK_Cells,NA,CD160,NA,CellTypist,Human,"Blood, Bone marrow, Decidua, Intestine, Kidney, Liver, Lung, Lung-draining lymph node, Mesenteric lymph node, Skeletal muscle, Spleen, Thymus, Tonsil, Trachea",CL:0000623,CD16- granular lymphocytes that play protective roles against both infectious pathogens and cancer using antibody-dependent cell-mediated cytotoxicity
ILC,Innate_Lymphoid_Cells_1,NA,CD3D,NA,CellTypist,Human,Tonsil,CL:0001077,innate lymphoid cell subpopulation I that is non-cytotoxic and has overlapping phenotypes and functions with natural killer cells
ILC,Innate_Lymphoid_Cells_1,NA,CXCR3,NA,CellTypist,Human,Tonsil,CL:0001077,innate lymphoid cell subpopulation I that is non-cytotoxic and has overlapping phenotypes and functions with natural killer cells
ILC,Innate_Lymphoid_Cell,NA,FCER1G,NA,Azimuth,Human,NA,CL_0001065,Human PBMCs reference
ILC,CD16+_NK_Cells,NA,FCGR3A,CD16,CellTypist,Human,"Blood, Bone marrow, Decidua, Intestine, Kidney, Liver, Lung, Lung-draining lymph node, Mesenteric lymph node, Omentum, Skeletal muscle, Spleen, Thymus, Tonsil",CL:0000623,CD16+ granular lymphocytes that play protective roles against both infectious pathogens and cancer using antibody-dependent cell-mediated cytotoxicity
ILC,Transitional_NK,NA,FCGR3A,CD16,CellTypist,Human,Bone marrow,CL:0000823,immature natural killer cells which originate from natural killer cell precursors and are committed to mature natural killer cells
ILC,Innate_Lymphoid_Cell,NA,GATA3,NA,Azimuth,Human,NA,CL_0001065,Human PBMCs reference
ILC,Innate_Lymphoid_Cells_2,NA,GATA3,NA,CellTypist,Human,Tonsil,CL:0001081,innate lymphoid cell subpopulation II that promotes type 2 inflammation and is involved in immune response against large extracellular pathogens
ILC,CD16+_NK_Cells,NA,GNLY,NA,CellTypist,Human,"Blood, Bone marrow, Decidua, Intestine, Kidney, Liver, Lung, Lung-draining lymph node, Mesenteric lymph node, Omentum, Skeletal muscle, Spleen, Thymus, Tonsil",CL:0000623,CD16+ granular lymphocytes that play protective roles against both infectious pathogens and cancer using antibody-dependent cell-mediated cytotoxicity
ILC,CD16-_NK_Cells,NA,GNLY,NA,CellTypist,Human,"Blood, Bone marrow, Decidua, Intestine, Kidney, Liver, Lung, Lung-draining lymph node, Mesenteric lymph node, Skeletal muscle, Spleen, Thymus, Tonsil, Trachea",CL:0000623,CD16- granular lymphocytes that play protective roles against both infectious pathogens and cancer using antibody-dependent cell-mediated cytotoxicity
ILC,NK_Cells,NA,GNLY,NA,CellTypist,Human,"Blood, Bone marrow, Decidua, Intestine, Kidney, Liver, Lung, Mesenteric lymph node, Spleen, Thymus, Tonsil, Trachea",CL:0000623,granular lymphocytes that play protective roles against both infectious pathogens and cancer using antibody-dependent cell-mediated cytotoxicity
ILC,Transitional_NK,NA,GZMK,NA,CellTypist,Human,Bone marrow,CL:0000823,immature natural killer cells which originate from natural killer cell precursors and are committed to mature natural killer cells
ILC,Innate_Lymphoid_Cell,NA,HPGDS,NA,Azimuth,Human,NA,CL_0001065,Human PBMCs reference
ILC,Innate_Lymphoid_Cells_2,NA,HPGDS,NA,CellTypist,Human,Tonsil,CL:0001081,innate lymphoid cell subpopulation II that promotes type 2 inflammation and is involved in immune response against large extracellular pathogens
ILC,Innate_Lymphoid_Cells_1,NA,IKZF3,NA,CellTypist,Human,Tonsil,CL:0001077,innate lymphoid cell subpopulation I that is non-cytotoxic and has overlapping phenotypes and functions with natural killer cells
ILC,Innate_Lymphoid_Cell,NA,IL1R1,NA,Azimuth,Human,NA,CL_0001065,Human PBMCs reference
ILC,Innate_Lymphoid_Cell,NA,IL2RA,NA,Azimuth,Human,NA,CL_0001065,Human PBMCs reference
ILC,Innate_Lymphoid_Cells_3,NA,IL4I1,NA,CellTypist,Human,"Bone marrow, Decidua, Intestine, Lung, Lung-draining lymph node, Mesenteric lymph node, Spleen, Thymus, Tonsil",CL:0001078,innate lymphoid cell subpopulation III that is required for host defense against specific extracellular bacteria and fungi
ILC,Innate_Lymphoid_Cell,NA,KIT,NA,Azimuth,Human,NA,CL_0001065,Human PBMCs reference
ILC,Innate_Lymphoid_Cells_3,NA,KIT,NA,CellTypist,Human,"Bone marrow, Decidua, Intestine, Lung, Lung-draining lymph node, Mesenteric lymph node, Spleen, Thymus, Tonsil",CL:0001078,innate lymphoid cell subpopulation III that is required for host defense against specific extracellular bacteria and fungi
ILC,Innate_Lymphoid_Cell,NA,KLRB1,NA,Azimuth,Human,NA,CL_0001065,Human PBMCs reference
ILC,Innate_Lymphoid_Cells_2,NA,KLRG1,NA,CellTypist,Human,Tonsil,CL:0001081,innate lymphoid cell subpopulation II that promotes type 2 inflammation and is involved in immune response against large extracellular pathogens
ILC,Innate_Lymphoid_Cell,NA,LINC01229,NA,Azimuth,Human,NA,CL_0001065,Human PBMCs reference
ILC,CD16+_NK_Cells,NA,NKG7,NA,CellTypist,Human,"Blood, Bone marrow, Decidua, Intestine, Kidney, Liver, Lung, Lung-draining lymph node, Mesenteric lymph node, Omentum, Skeletal muscle, Spleen, Thymus, Tonsil",CL:0000623,CD16+ granular lymphocytes that play protective roles against both infectious pathogens and cancer using antibody-dependent cell-mediated cytotoxicity
ILC,CD16-_NK_Cells,NA,NKG7,NA,CellTypist,Human,"Blood, Bone marrow, Decidua, Intestine, Kidney, Liver, Lung, Lung-draining lymph node, Mesenteric lymph node, Skeletal muscle, Spleen, Thymus, Tonsil, Trachea",CL:0000623,CD16- granular lymphocytes that play protective roles against both infectious pathogens and cancer using antibody-dependent cell-mediated cytotoxicity
ILC,NK_Cells,NA,NKG7,NA,CellTypist,Human,"Blood, Bone marrow, Decidua, Intestine, Kidney, Liver, Lung, Mesenteric lymph node, Spleen, Thymus, Tonsil, Trachea",CL:0000623,granular lymphocytes that play protective roles against both infectious pathogens and cancer using antibody-dependent cell-mediated cytotoxicity
ILC,Innate_Lymphoid_Cells_3,NA,RORC,NA,CellTypist,Human,"Bone marrow, Decidua, Intestine, Lung, Lung-draining lymph node, Mesenteric lymph node, Spleen, Thymus, Tonsil",CL:0001078,innate lymphoid cell subpopulation III that is required for host defense against specific extracellular bacteria and fungi
ILC,Innate_Lymphoid_Cells,NA,S100A13,NA,CellTypist,Human,"Intestine, Mesenteric lymph node, Spleen",CL:0001065,specialised innate immune cells from the lymphoid lineage but without antigen-specific T-cell receptors on the surface
